,text,labels_0,labels_1,labels_2,labels_3,labels_4,labels_5,labels_6,labels_7,labels_8,labels_9,labels_10,labels_11,labels_12,labels_13,labels_14,labels_15
378,"Das Schnitzel meiner Frau war aus der Fritteuse, die Bratkartoffeln geschmacklos und kaum angebraten.","('FOOD', 'NEGATIVE', 'Bratkartoffeln')",,,,,,,,,,,,,,,
379,"Das Schnitzel meiner Frau war aus der Fritteuse, die Bratkartoffeln geschmacklos und kaum angebraten.",,,,,,,,,,,,,,,,
380,Das Steak hatte mindestens 300 g (ich hatte gut zu kämpfen) und die Pfifferlinge waren - wie ich es am Liebsten mag - in Speck gebraten.,"('FOOD', 'POSITIVE', 'Pfifferlinge')","('FOOD', 'POSITIVE', 'Speck')",,,,,,,,,,,,,,
381,Das Steak hatte mindestens 300 g (ich hatte gut zu kämpfen) und die Pfifferlinge waren - wie ich es am Liebsten mag - in Speck gebraten.,,,,,,,,,,,,,,,,
382,Das Stück Torte war handwerklich fehlerfrei.,"('FOOD', 'POSITIVE', 'Torte')",,,,,,,,,,,,,,,
383,Das Stück Torte war handwerklich fehlerfrei.,,,,,,,,,,,,,,,,
384,"Das Terrassenambiente war eine Katastrophe, viel zu eng alles und viel zu laut.","('AMBIENCE', 'NEGATIVE', 'Terrassenambiente')",,,,,,,,,,,,,,,
385,"Das Terrassenambiente war eine Katastrophe, viel zu eng alles und viel zu laut.",,,,,,,,,,,,,,,,
386,Das Tischbuffet wird immer nach Wunsch zubereitet und schmeckt wunderbar.,"('FOOD', 'POSITIVE', 'Tischbuffet')",,,,,,,,,,,,,,,
387,Das Tischbuffet wird immer nach Wunsch zubereitet und schmeckt wunderbar.,,,,,,,,,,,,,,,,
388,"Das allerbeste, obwohl wir recht kurzfristig reservierten und das Lokal ausgebucht war, fand der Wirt noch ein Plätzchen für uns.","('SERVICE', 'POSITIVE', 'Wirt')",,,,,,,,,,,,,,,
389,"Das allerbeste, obwohl wir recht kurzfristig reservierten und das Lokal ausgebucht war, fand der Wirt noch ein Plätzchen für uns.",,,,,,,,,,,,,,,,
390,Das bestellte Steak zu zweit war nicht viel größer wie eine plattgedrückte Frikadelle.,"('FOOD', 'NEGATIVE', 'Steak')",,,,,,,,,,,,,,,
391,Das bestellte Steak zu zweit war nicht viel größer wie eine plattgedrückte Frikadelle.,,,,,,,,,,,,,,,,
392,Das daVino-Team hat am Wochenende beim Weihnachtstreffen des BMW Z1 Clubs in LOC für ein allseits hochgelobtes Highlight gesorgt.,"('SERVICE', 'POSITIVE', 'daVino-Team')",,,,,,,,,,,,,,,
393,Das daVino-Team hat am Wochenende beim Weihnachtstreffen des BMW Z1 Clubs in LOC für ein allseits hochgelobtes Highlight gesorgt.,,,,,,,,,,,,,,,,
394,"Das einzige mango ist die freundlichkeit der Servicekräfte, das könnte besser sein, ansonsten gab es nichts zu meckern.","('SERVICE', 'NEGATIVE', 'Servicekräfte')",,,,,,,,,,,,,,,
395,"Das einzige mango ist die freundlichkeit der Servicekräfte, das könnte besser sein, ansonsten gab es nichts zu meckern.",,,,,,,,,,,,,,,,
396,"Das findet man sonst nicht, und macht die Faszination LOC aus.","('GENERAL-IMPRESSION', 'POSITIVE', 'LOC')",,,,,,,,,,,,,,,
397,"Das findet man sonst nicht, und macht die Faszination LOC aus.",,,,,,,,,,,,,,,,
398,"Das ich für ein Alt 2,65€ zahle ist ja fast ok, aber wenn ich mir in LOC Flöns bestelle und dann ein 3cm langes Stückchen Blutwurst bekomme, find ich es nicht mehr lustig","('PRICE', 'NEGATIVE', 'NULL')",,,,,,,,,,,,,,,
399,"Das ich für ein Alt 2,65€ zahle ist ja fast ok, aber wenn ich mir in LOC Flöns bestelle und dann ein 3cm langes Stückchen Blutwurst bekomme, find ich es nicht mehr lustig",,,,,,,,,,,,,,,,
400,Das ist für so ein Restaurant ein Unding.,"('GENERAL-IMPRESSION', 'NEGATIVE', 'Restaurant')",,,,,,,,,,,,,,,
401,Das ist für so ein Restaurant ein Unding.,,,,,,,,,,,,,,,,
402,Das können viele besser.,"('GENERAL-IMPRESSION', 'NEGATIVE', 'NULL')",,,,,,,,,,,,,,,
403,Das können viele besser.,,,,,,,,,,,,,,,,
404,"Das selbstgebraute Bier ist wirklich lecker, das Essen hingegen nicht zu empfehlen.","('FOOD', 'POSITIVE', 'Bier')","('FOOD', 'NEGATIVE', 'Essen')",,,,,,,,,,,,,,
405,"Das selbstgebraute Bier ist wirklich lecker, das Essen hingegen nicht zu empfehlen.",,,,,,,,,,,,,,,,
406,Das war dieses Mal leider nichts.,"('GENERAL-IMPRESSION', 'NEGATIVE', 'NULL')",,,,,,,,,,,,,,,
407,Das war dieses Mal leider nichts.,,,,,,,,,,,,,,,,
408,"Das war kein Vergleich zum LOC: Hier, im LOC, gab es deutlich besseres Essen und eine bessere Serviceleistung, lag auch an einer Servicekraft (Andrea).","('FOOD', 'POSITIVE', 'Essen')","('SERVICE', 'POSITIVE', 'Serviceleistung')","('SERVICE', 'POSITIVE', 'Andrea')",,,,,,,,,,,,,
409,"Das war kein Vergleich zum LOC: Hier, im LOC, gab es deutlich besseres Essen und eine bessere Serviceleistung, lag auch an einer Servicekraft (Andrea).",,,,,,,,,,,,,,,,
410,Das war leider das letzte Mal!,"('GENERAL-IMPRESSION', 'NEGATIVE', 'NULL')",,,,,,,,,,,,,,,
411,Das war leider das letzte Mal!,,,,,,,,,,,,,,,,
412,Das war wirklich schade und hier stimmt das Preis-Leistungs-Verhältnis gar nicht.,"('PRICE', 'NEGATIVE', 'Preis-Leistungs-Verhältnis')",,,,,,,,,,,,,,,
413,Das war wirklich schade und hier stimmt das Preis-Leistungs-Verhältnis gar nicht.,,,,,,,,,,,,,,,,
414,Dazu Pommes und ein Salat mit friner Sauce.,"('FOOD', 'POSITIVE', 'Sauce')",,,,,,,,,,,,,,,
415,Dazu Pommes und ein Salat mit friner Sauce.,,,,,,,,,,,,,,,,
416,Definitiv überteuert und in dem Rahmen kein Besuch wert.,"('PRICE', 'NEGATIVE', 'NULL')",,,,,,,,,,,,,,,
417,Definitiv überteuert und in dem Rahmen kein Besuch wert.,,,,,,,,,,,,,,,,
418,"Delikat angerichtet, tolle Performance beim Servieren.","('FOOD', 'POSITIVE', 'NULL')","('SERVICE', 'POSITIVE', 'NULL')",,,,,,,,,,,,,,
419,"Delikat angerichtet, tolle Performance beim Servieren.",,,,,,,,,,,,,,,,
420,Dementsprechend voll ist es.,"('AMBIENCE', 'NEGATIVE', 'NULL')",,,,,,,,,,,,,,,
421,Dementsprechend voll ist es.,,,,,,,,,,,,,,,,
422,Denn aus dem Grundbuffet der Karte zaubert die Küche leckere Köstlichkeiten mit diversen Soßen und Beilagen.,"('FOOD', 'POSITIVE', 'Köstlichkeiten')","('FOOD', 'POSITIVE', 'Soßen')","('FOOD', 'POSITIVE', 'Beilagen')",,,,,,,,,,,,,
423,Denn aus dem Grundbuffet der Karte zaubert die Küche leckere Köstlichkeiten mit diversen Soßen und Beilagen.,,,,,,,,,,,,,,,,
424,"Dennoch erinnerte sie mehr an eine fertig Pizza als an eine Pizza, wo der Teich frisch zubereitet worden ist.","('FOOD', 'NEGATIVE', 'NULL')",,,,,,,,,,,,,,,
425,"Dennoch erinnerte sie mehr an eine fertig Pizza als an eine Pizza, wo der Teich frisch zubereitet worden ist.",,,,,,,,,,,,,,,,
426,Dennoch war die Akustik besser als ich vermutet hätte.,"('AMBIENCE', 'POSITIVE', 'Akustik')",,,,,,,,,,,,,,,
427,Dennoch war die Akustik besser als ich vermutet hätte.,,,,,,,,,,,,,,,,
428,"Der (offene) Primitivo war ordentlich, wenn auch kein Spitzenwein (kann man bei 8 Euro fürs Glas auch nicht verlangen).","('FOOD', 'NEUTRAL', 'Primitivo')",,,,,,,,,,,,,,,
429,"Der (offene) Primitivo war ordentlich, wenn auch kein Spitzenwein (kann man bei 8 Euro fürs Glas auch nicht verlangen).",,,,,,,,,,,,,,,,
430,Der Auslieferungsfahrer war sehr nett und hat sich entschuldigt.,"('SERVICE', 'POSITIVE', 'Auslieferungsfahrer')",,,,,,,,,,,,,,,
431,Der Auslieferungsfahrer war sehr nett und hat sich entschuldigt.,,,,,,,,,,,,,,,,
432,Der Banker würde triple A vergeben.,"('GENERAL-IMPRESSION', 'POSITIVE', 'NULL')",,,,,,,,,,,,,,,
433,Der Banker würde triple A vergeben.,,,,,,,,,,,,,,,,
434,Der Blick von der Dachterasse ist der Wahnsinn.,"('AMBIENCE', 'POSITIVE', 'Blick von der Dachterasse')",,,,,,,,,,,,,,,
435,Der Blick von der Dachterasse ist der Wahnsinn.,,,,,,,,,,,,,,,,
436,"Der Brunch ist sehr empfehlenswert, sehr gutes Essen in angenehmer Atmosphäre bei sehr gutem Service.","('FOOD', 'POSITIVE', 'Brunch')","('FOOD', 'POSITIVE', 'Essen')","('AMBIENCE', 'POSITIVE', 'Atmosphäre')","('SERVICE', 'POSITIVE', 'Service')",,,,,,,,,,,,
437,"Der Brunch ist sehr empfehlenswert, sehr gutes Essen in angenehmer Atmosphäre bei sehr gutem Service.",,,,,,,,,,,,,,,,
438,Der Chef konnte nicht gefunden werden.,"('SERVICE', 'NEGATIVE', 'Chef')",,,,,,,,,,,,,,,
439,Der Chef konnte nicht gefunden werden.,,,,,,,,,,,,,,,,
440,"Der Empfang war nett, der Tisch im hinteren Bereich des aus Brettern gebauten Restaurants.","('SERVICE', 'POSITIVE', 'Empfang')",,,,,,,,,,,,,,,
441,"Der Empfang war nett, der Tisch im hinteren Bereich des aus Brettern gebauten Restaurants.",,,,,,,,,,,,,,,,
442,"Der Fisch war sehr durch, welches vom Kellner ohne Reaktion registriert wurde!","('SERVICE', 'NEGATIVE', 'Fisch')","('SERVICE', 'NEGATIVE', 'Kellner')",,,,,,,,,,,,,,
443,"Der Fisch war sehr durch, welches vom Kellner ohne Reaktion registriert wurde!",,,,,,,,,,,,,,,,
444,"Der Hähnchen Döner wird durch zwei Soßen, Gemüse, Salat, Fetakäse verfeinert und durch einen spitzer Zitrone abgerundet.","('FOOD', 'POSITIVE', 'Hähnchen Döner')","('FOOD', 'POSITIVE', 'Soßen')","('FOOD', 'POSITIVE', 'Gemüse')","('FOOD', 'POSITIVE', 'Salat')","('FOOD', 'POSITIVE', 'Fetakäse')","('FOOD', 'POSITIVE', 'Zitrone')",,,,,,,,,,
445,"Der Hähnchen Döner wird durch zwei Soßen, Gemüse, Salat, Fetakäse verfeinert und durch einen spitzer Zitrone abgerundet.",,,,,,,,,,,,,,,,
446,Der Kartoffelsalat schmeckte wie aus dem Eimer und war eiskalt.,"('FOOD', 'NEGATIVE', 'Kartoffelsalat')",,,,,,,,,,,,,,,
447,Der Kartoffelsalat schmeckte wie aus dem Eimer und war eiskalt.,,,,,,,,,,,,,,,,
448,Der Kartoffelsalat war nicht mehr so gut.,"('FOOD', 'NEGATIVE', 'Kartoffelsalat')",,,,,,,,,,,,,,,
449,Der Kartoffelsalat war nicht mehr so gut.,,,,,,,,,,,,,,,,
450,Der Kellner läuft planlos durch die Gegend und wirkt überfordert.,"('SERVICE', 'NEGATIVE', 'Kellner')",,,,,,,,,,,,,,,
451,Der Kellner läuft planlos durch die Gegend und wirkt überfordert.,,,,,,,,,,,,,,,,
452,Der Kellner war unhöflich und völlig unfreundlich.,"('SERVICE', 'NEGATIVE', 'Kellner')",,,,,,,,,,,,,,,
453,Der Kellner war unhöflich und völlig unfreundlich.,,,,,,,,,,,,,,,,
454,Der Kunde von unserer Firma war auch negativ gestimmt und weitere Kundengespräche werden nicht mehr dort durchgeführt.,"('GENERAL-IMPRESSION', 'NEGATIVE', 'NULL')",,,,,,,,,,,,,,,
455,Der Kunde von unserer Firma war auch negativ gestimmt und weitere Kundengespräche werden nicht mehr dort durchgeführt.,,,,,,,,,,,,,,,,
456,"Der Käse war in Ordnung, kam aber in Würfeln, so wie Fingerfood (eher ungewöhnlich für ein Frühstück).","('FOOD', 'NEGATIVE', 'Käse')",,,,,,,,,,,,,,,
457,"Der Käse war in Ordnung, kam aber in Würfeln, so wie Fingerfood (eher ungewöhnlich für ein Frühstück).",,,,,,,,,,,,,,,,
458,"Der Käse war meiner Meinung nach kein Bergkäse, aber egal.","('FOOD', 'NEGATIVE', 'Käse')",,,,,,,,,,,,,,,
459,"Der Käse war meiner Meinung nach kein Bergkäse, aber egal.",,,,,,,,,,,,,,,,
460,"Der Lachs war gut, auf den Punkt gegrillt, daran gab es nicht auszusetzen!","('FOOD', 'POSITIVE', 'Lachs')",,,,,,,,,,,,,,,
461,"Der Lachs war gut, auf den Punkt gegrillt, daran gab es nicht auszusetzen!",,,,,,,,,,,,,,,,
462,Der Leberkäse war eher ein Fleischkäse und hatte mit einem bayerischen Leberkäse nichts zu tun.,"('FOOD', 'NEGATIVE', 'Leberkäse')",,,,,,,,,,,,,,,
463,Der Leberkäse war eher ein Fleischkäse und hatte mit einem bayerischen Leberkäse nichts zu tun.,,,,,,,,,,,,,,,,
464,Der Nachtisch ging gar nicht.,"('FOOD', 'NEGATIVE', 'Nachtisch')",,,,,,,,,,,,,,,
465,Der Nachtisch ging gar nicht.,,,,,,,,,,,,,,,,
466,Der Personal ist sehr freundlich.,"('SERVICE', 'POSITIVE', 'Personal')",,,,,,,,,,,,,,,
467,Der Personal ist sehr freundlich.,,,,,,,,,,,,,,,,
468,"Der Preis stimmt, das Personal ist freundlich und aufmerksam, die Atmosphäre ist angenehm.","('PRICE', 'POSITIVE', 'Preis')","('SERVICE', 'POSITIVE', 'Personal')","('AMBIENCE', 'POSITIVE', 'Atmosphäre')",,,,,,,,,,,,,
469,"Der Preis stimmt, das Personal ist freundlich und aufmerksam, die Atmosphäre ist angenehm.",,,,,,,,,,,,,,,,
470,Der Preis war mit etwas mehr als 50€ pro Person inkl. Wasser und einer halben Flasche Wein schon heftig.,"('PRICE', 'NEGATIVE', 'Preis')",,,,,,,,,,,,,,,
471,Der Preis war mit etwas mehr als 50€ pro Person inkl. Wasser und einer halben Flasche Wein schon heftig.,,,,,,,,,,,,,,,,
472,Der Salat war fast Tiefgefroren und entsprechend im Geschmack und das Wienerschnitzel billigste TK Ware.,"('FOOD', 'NEGATIVE', 'Salat')","('FOOD', 'NEGATIVE', 'Wienerschnitzel')",,,,,,,,,,,,,,
473,Der Salat war fast Tiefgefroren und entsprechend im Geschmack und das Wienerschnitzel billigste TK Ware.,,,,,,,,,,,,,,,,
474,"Der Schweinsbraten war o. k., wir haben noch Knödel nachgeordert, da es für uns ein bisschen wenig war, das hat beim Personal zusätzlichen Stress ausgelöst, der Knödel kam dann aber zeitnah.","('FOOD', 'NEUTRAL', 'Schweinsbraten')","('SERVICE', 'POSITIVE', 'NULL')","('FOOD', 'NEGATIVE', 'NULL')",,,,,,,,,,,,,
475,"Der Schweinsbraten war o. k., wir haben noch Knödel nachgeordert, da es für uns ein bisschen wenig war, das hat beim Personal zusätzlichen Stress ausgelöst, der Knödel kam dann aber zeitnah.",,,,,,,,,,,,,,,,
476,Der Service ist eine Katastrophe!,"('SERVICE', 'NEGATIVE', 'Service')",,,,,,,,,,,,,,,
477,Der Service ist eine Katastrophe!,,,,,,,,,,,,,,,,
478,Der Service ist gut und freundlich.,"('SERVICE', 'POSITIVE', 'Service')",,,,,,,,,,,,,,,
479,Der Service ist gut und freundlich.,,,,,,,,,,,,,,,,
480,Der Service um und mit Herrn Zeyer ist eine Klasse für sich.,"('SERVICE', 'POSITIVE', 'Service')","('SERVICE', 'POSITIVE', 'Herrn Zeyer')",,,,,,,,,,,,,,
481,Der Service um und mit Herrn Zeyer ist eine Klasse für sich.,,,,,,,,,,,,,,,,
482,"Der Service verdient eine extra Erwähnung, weil er trotz vollem Restaurant und einer größeren Veranstaltung ruhig und kompetent gearbeitet hat.","('SERVICE', 'POSITIVE', 'Service')",,,,,,,,,,,,,,,
483,"Der Service verdient eine extra Erwähnung, weil er trotz vollem Restaurant und einer größeren Veranstaltung ruhig und kompetent gearbeitet hat.",,,,,,,,,,,,,,,,
484,Der Service war auch erstklassig und das Personal war sehr freundlich.,"('SERVICE', 'POSITIVE', 'Service')","('SERVICE', 'POSITIVE', 'Personal')",,,,,,,,,,,,,,
485,Der Service war auch erstklassig und das Personal war sehr freundlich.,,,,,,,,,,,,,,,,
486,Der Service war aufmerksam und zuvorkommend wie immer.,"('SERVICE', 'POSITIVE', 'Service')",,,,,,,,,,,,,,,
487,Der Service war aufmerksam und zuvorkommend wie immer.,,,,,,,,,,,,,,,,
488,"Der Service war herausragend gut, leidenschaftlich und engagiert.","('SERVICE', 'POSITIVE', 'Service')",,,,,,,,,,,,,,,
489,"Der Service war herausragend gut, leidenschaftlich und engagiert.",,,,,,,,,,,,,,,,
490,"Der Service war schnell und zuverlässig, obwohl das Restaurant komplett ausverkauft war.","('SERVICE', 'POSITIVE', 'Service')",,,,,,,,,,,,,,,
491,"Der Service war schnell und zuverlässig, obwohl das Restaurant komplett ausverkauft war.",,,,,,,,,,,,,,,,
492,"Der Service war schnell, freundlich und Aufmerksam.","('SERVICE', 'POSITIVE', 'Service')",,,,,,,,,,,,,,,
493,"Der Service war schnell, freundlich und Aufmerksam.",,,,,,,,,,,,,,,,
494,Der Service war trotz des Trubels aufmerksam und sehr freundlich.,"('SERVICE', 'POSITIVE', 'Service')",,,,,,,,,,,,,,,
495,Der Service war trotz des Trubels aufmerksam und sehr freundlich.,,,,,,,,,,,,,,,,
496,"Der Service wirkte gestresst (kein Wunder), war aber freundlich jedoch auch recht unpersönlich, alles musste zackig bestellt werden, Fliessbandfeeling.","('SERVICE', 'NEGATIVE', 'Service')",,,,,,,,,,,,,,,
497,"Der Service wirkte gestresst (kein Wunder), war aber freundlich jedoch auch recht unpersönlich, alles musste zackig bestellt werden, Fliessbandfeeling.",,,,,,,,,,,,,,,,
498,"Der Typ sagte zu uns, dass er bestimmen würde, welcher Tisch frei ist und welcher nicht.","('SERVICE', 'NEGATIVE', 'Typ')",,,,,,,,,,,,,,,
499,"Der Typ sagte zu uns, dass er bestimmen würde, welcher Tisch frei ist und welcher nicht.",,,,,,,,,,,,,,,,
500,Der Zander und das Kassler sind zu empfehlen.,"('FOOD', 'POSITIVE', 'Zander')","('FOOD', 'POSITIVE', 'Kassler')",,,,,,,,,,,,,,
501,Der Zander und das Kassler sind zu empfehlen.,,,,,,,,,,,,,,,,
502,Der alternativ bestellte ofenfrische Leberkäs wurde mit scharfem Senf serviert - ein no go in LOC.,"('FOOD', 'NEGATIVE', 'Leberkäs')","('FOOD', 'NEGATIVE', 'Senf')",,,,,,,,,,,,,,
503,Der alternativ bestellte ofenfrische Leberkäs wurde mit scharfem Senf serviert - ein no go in LOC.,,,,,,,,,,,,,,,,
504,Der angeblich selbst gemachte Kartoffelsalat war relativ trocken und geschmacklich zum Vergessen.,"('FOOD', 'NEGATIVE', 'Kartoffelsalat')",,,,,,,,,,,,,,,
505,Der angeblich selbst gemachte Kartoffelsalat war relativ trocken und geschmacklich zum Vergessen.,,,,,,,,,,,,,,,,
506,"Der junge Service ist äußerst freundlich, erklärt sehr angenehm und macht seinen Job gerne.","('SERVICE', 'POSITIVE', 'Service')",,,,,,,,,,,,,,,
507,"Der junge Service ist äußerst freundlich, erklärt sehr angenehm und macht seinen Job gerne.",,,,,,,,,,,,,,,,
508,"Der sogenannte Chef de Service wurde sehr laut und wiederholte sich ständig, dass wir ja schliesslich zu spät gekommen seien.","('SERVICE', 'NEGATIVE', 'Chef de Service')",,,,,,,,,,,,,,,
509,"Der sogenannte Chef de Service wurde sehr laut und wiederholte sich ständig, dass wir ja schliesslich zu spät gekommen seien.",,,,,,,,,,,,,,,,
510,"Der verbleibende Mitarbeiter, der sich dann alleine um alle besetzten Tische im Außenbereich gekümmert hat, war sehr bemüht, hatte aber keine Chance dies alleine zu bewältigen.","('SERVICE', 'POSITIVE', 'Mitarbeiter')",,,,,,,,,,,,,,,
511,"Der verbleibende Mitarbeiter, der sich dann alleine um alle besetzten Tische im Außenbereich gekümmert hat, war sehr bemüht, hatte aber keine Chance dies alleine zu bewältigen.",,,,,,,,,,,,,,,,
512,Dicke Empfehlung!!!,"('GENERAL-IMPRESSION', 'POSITIVE', 'NULL')",,,,,,,,,,,,,,,
513,Dicke Empfehlung!!!,,,,,,,,,,,,,,,,
514,"Die Alioli mit Baguette, die es für jeden Tisch dazu gibt, ist top :) Im Innenraum wird jede Ecke genutzt - dadurch ist es etwas lauter.","('FOOD', 'POSITIVE', 'Alioli mit Baguette')","('AMBIENCE', 'NEGATIVE', 'Innenraum')",,,,,,,,,,,,,,
515,"Die Alioli mit Baguette, die es für jeden Tisch dazu gibt, ist top :) Im Innenraum wird jede Ecke genutzt - dadurch ist es etwas lauter.",,,,,,,,,,,,,,,,
516,Die Auswahl der Kuchen & Torten war dementsprechend nicht mehr sehr groß.,"('FOOD', 'NEGATIVE', 'Auswahl der Kuchen & Torten')",,,,,,,,,,,,,,,
517,Die Auswahl der Kuchen & Torten war dementsprechend nicht mehr sehr groß.,,,,,,,,,,,,,,,,
518,"Die Baguettes billige zum Aufbacken und nicht ansatzweise knusprig, sondern völlig weich und teilweise sogar matschig.","('FOOD', 'NEGATIVE', 'Baguettes')",,,,,,,,,,,,,,,
519,"Die Baguettes billige zum Aufbacken und nicht ansatzweise knusprig, sondern völlig weich und teilweise sogar matschig.",,,,,,,,,,,,,,,,
520,Die Bedienung Frau Marta war sehr freundlich und speditiv.,"('SERVICE', 'POSITIVE', 'Marta')",,,,,,,,,,,,,,,
521,Die Bedienung Frau Marta war sehr freundlich und speditiv.,,,,,,,,,,,,,,,,
522,Die Bedienung hatte null Ahnung was welches Gericht war.,"('SERVICE', 'NEGATIVE', 'Bedienung')",,,,,,,,,,,,,,,
523,Die Bedienung hatte null Ahnung was welches Gericht war.,,,,,,,,,,,,,,,,
524,"Die Bedienung war freundlich, das war aber auch das einzig positive.","('SERVICE', 'POSITIVE', 'Bedienung')",,,,,,,,,,,,,,,
525,"Die Bedienung war freundlich, das war aber auch das einzig positive.",,,,,,,,,,,,,,,,
526,Die Bedienung war nicht recht kommunikativ und gab uns eher das Gefühl eine Last zu sein.,"('SERVICE', 'NEGATIVE', 'Bedienung')",,,,,,,,,,,,,,,
527,Die Bedienung war nicht recht kommunikativ und gab uns eher das Gefühl eine Last zu sein.,,,,,,,,,,,,,,,,
528,Die Bedienung war sehr nett und zuvor kommend.,"('SERVICE', 'POSITIVE', 'Bedienung')",,,,,,,,,,,,,,,
529,Die Bedienung war sehr nett und zuvor kommend.,,,,,,,,,,,,,,,,
530,Die Bedienung war sehr unfreundlich.,"('SERVICE', 'NEGATIVE', 'Bedienung')",,,,,,,,,,,,,,,
531,Die Bedienung war sehr unfreundlich.,,,,,,,,,,,,,,,,
532,"Die Bedingung reagierte darauf mit einem Schulterstücken und sie essen den auch, also soll er uns schmecken.","('SERVICE', 'NEGATIVE', 'Bedingung')",,,,,,,,,,,,,,,
533,"Die Bedingung reagierte darauf mit einem Schulterstücken und sie essen den auch, also soll er uns schmecken.",,,,,,,,,,,,,,,,
534,"Die Bestellung wurde aufgegeben und kurze Zeit später wurde unser Essen bereits serviert, heiß, deftig und ein Genuss!","('FOOD', 'POSITIVE', 'Essen')",,,,,,,,,,,,,,,
535,"Die Bestellung wurde aufgegeben und kurze Zeit später wurde unser Essen bereits serviert, heiß, deftig und ein Genuss!",,,,,,,,,,,,,,,,
536,Die Bratkartoffeln schmeckten teilweise alt.,"('FOOD', 'NEGATIVE', 'Bratkartoffeln')",,,,,,,,,,,,,,,
537,Die Bratkartoffeln schmeckten teilweise alt.,,,,,,,,,,,,,,,,
538,"Die Brez‘n Suppe ist der Hammer, das Gröstl eine Riesenportion Geschmack.","('FOOD', 'POSITIVE', 'Brez‘n Suppe')","('FOOD', 'POSITIVE', 'Gröstl')",,,,,,,,,,,,,,
539,"Die Brez‘n Suppe ist der Hammer, das Gröstl eine Riesenportion Geschmack.",,,,,,,,,,,,,,,,
540,"Die Burger könnten besser sein, da die Brötchen pappig sind.","('FOOD', 'NEGATIVE', 'Burger')","('FOOD', 'NEGATIVE', 'Brötchen')",,,,,,,,,,,,,,
541,"Die Burger könnten besser sein, da die Brötchen pappig sind.",,,,,,,,,,,,,,,,
542,Die Burger waren sehr lecker mit guten Brötchen und perfekter Zubereitung.,"('FOOD', 'POSITIVE', 'Burger')","('FOOD', 'POSITIVE', 'Brötchen')",,,,,,,,,,,,,,
543,Die Burger waren sehr lecker mit guten Brötchen und perfekter Zubereitung.,,,,,,,,,,,,,,,,
544,Die Chefin war sehr freundlich und es hat Spaß gemacht sich mit ihr zu unterhalten.,"('SERVICE', 'POSITIVE', 'Chefin')",,,,,,,,,,,,,,,
545,Die Chefin war sehr freundlich und es hat Spaß gemacht sich mit ihr zu unterhalten.,,,,,,,,,,,,,,,,
546,Die Crew (alle im gleichen Outfit - alle sprechen italienisch mit den Gästen) soll den Kunden das Gefühl vermitteln wirklich in LOC zu sein…ähnlich kennen wir das aus LOC…hierfür würde ich für die schauspielerische Leistung glatt 3 Punkte vergeben.,"('SERVICE', 'NEUTRAL', 'Crew')",,,,,,,,,,,,,,,
547,Die Crew (alle im gleichen Outfit - alle sprechen italienisch mit den Gästen) soll den Kunden das Gefühl vermitteln wirklich in LOC zu sein…ähnlich kennen wir das aus LOC…hierfür würde ich für die schauspielerische Leistung glatt 3 Punkte vergeben.,,,,,,,,,,,,,,,,
548,"Die Currywurst war lecker, die Pommes ziemlich versalzen.","('FOOD', 'POSITIVE', 'Currywurst')","('FOOD', 'NEGATIVE', 'Pommes')",,,,,,,,,,,,,,
549,"Die Currywurst war lecker, die Pommes ziemlich versalzen.",,,,,,,,,,,,,,,,
550,"Die Desserts waren mir nicht möglich zu essen, sahen dafür umso besser aus - bei diesen hätte ich sehr gerne zugeschlagen!","('FOOD', 'POSITIVE', 'Desserts')",,,,,,,,,,,,,,,
551,"Die Desserts waren mir nicht möglich zu essen, sahen dafür umso besser aus - bei diesen hätte ich sehr gerne zugeschlagen!",,,,,,,,,,,,,,,,
552,Die Erfahrung hat uns sehr gefallen!,"('GENERAL-IMPRESSION', 'POSITIVE', 'Erfahrung')",,,,,,,,,,,,,,,
553,Die Erfahrung hat uns sehr gefallen!,,,,,,,,,,,,,,,,
554,Die Gamba Carabinero ist optisch und geschmacklich ein Gedicht.,"('FOOD', 'POSITIVE', 'Gamba Carabinero')",,,,,,,,,,,,,,,
555,Die Gamba Carabinero ist optisch und geschmacklich ein Gedicht.,,,,,,,,,,,,,,,,
556,"Die Gaststätte ist sehr gemütlich und hat den Charme, den man sich bei Oma vorstellt.","('AMBIENCE', 'POSITIVE', 'Gaststätte')","('AMBIENCE', 'POSITIVE', 'Charme')",,,,,,,,,,,,,,
557,"Die Gaststätte ist sehr gemütlich und hat den Charme, den man sich bei Oma vorstellt.",,,,,,,,,,,,,,,,
558,"Die Gerichte zart, aber herzhaft gewürzt rundeten den Abend ab.","('FOOD', 'POSITIVE', 'Gerichte')",,,,,,,,,,,,,,,
559,"Die Gerichte zart, aber herzhaft gewürzt rundeten den Abend ab.",,,,,,,,,,,,,,,,
560,Die Haxe war extrem fett und der Knödel poppig und geschmacklos.,"('FOOD', 'NEGATIVE', 'Knödel')","('FOOD', 'NEGATIVE', 'Haxe')",,,,,,,,,,,,,,
561,Die Haxe war extrem fett und der Knödel poppig und geschmacklos.,,,,,,,,,,,,,,,,
562,Die Kellnerin hat einen genervten Eindruck gemacht.,"('SERVICE', 'NEGATIVE', 'Kellnerin')",,,,,,,,,,,,,,,
563,Die Kellnerin hat einen genervten Eindruck gemacht.,,,,,,,,,,,,,,,,
